observer,neighbor,window_start,window_end,contacts,contact_time,tx_offer_M,tx_ok_M,tx_abort_M,rx_M,tx_offer_F,tx_ok_F,tx_abort_F,rx_F,buf_bytes_avg,buf_bytes_max,drop_buf_M,drop_buf_F
60,113,-100,200,1,2,0,0,0,0,0,0,0,0,245542.56,874671,0,0
60,102,-100,200,1,3,0,0,0,0,0,0,0,0,245542.56,874671,0,0
60,52,200,500,1,3,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,123,200,500,1,7,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,56,200,500,1,2,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,77,200,500,1,5,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,18,200,500,1,8,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,48,200,500,1,9,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,55,200,500,2,10,0,0,0,0,0,0,0,1,982654.05,1089340,0,0
60,44,200,500,1,3,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,25,200,500,1,5,0,0,0,0,0,0,0,0,982654.05,1089340,0,0
60,109,500,800,1,4,0,0,0,0,0,0,0,2,1678385.65,1746493,0,0
60,32,800,1100,1,3,0,0,0,0,3,2,0,0,2100393.67,2422622,0,0
60,107,800,1100,1,2,0,0,0,0,0,0,0,1,2100393.67,2422622,0,0
60,15,800,1100,1,2,0,0,0,0,0,0,0,0,2100393.67,2422622,0,0
60,17,800,1100,1,7,85,1,0,0,0,0,0,0,2100393.67,2422622,0,0
60,34,800,1100,1,5,0,0,0,0,3,3,0,2,2100393.67,2422622,0,0
60,7,1100,1400,1,1,0,0,0,0,0,0,0,0,3413992.72,3791287,0,0
60,24,1100,1400,1,1,0,0,0,0,0,0,0,1,3413992.72,3791287,0,0
60,32,1100,1400,0,0,0,0,0,0,0,0,1,0,3413992.72,3791287,0,0
60,81,1100,1400,1,2,0,0,0,0,2,2,0,0,3413992.72,3791287,0,0
60,45,1100,1400,1,1,0,0,0,0,1,0,1,0,3413992.72,3791287,0,0
60,15,1100,1400,1,2,0,0,0,0,2,2,0,0,3413992.72,3791287,0,0
60,4,1100,1400,1,1,0,0,0,0,1,1,0,0,3413992.72,3791287,0,0
60,47,1100,1400,1,1,0,0,0,0,0,0,0,2,3413992.72,3791287,0,0
60,14,1100,1400,1,1,0,0,0,0,0,0,0,0,3413992.72,3791287,0,0
60,17,1100,1400,1,1,32,0,0,0,0,0,0,0,3413992.72,3791287,0,0
60,19,1400,1700,1,1,0,0,0,0,0,0,0,1,4157931.28,4797443,2,6
60,65,1400,1700,1,17,0,0,0,2,0,0,0,5,4157931.28,4797443,2,6
60,61,1400,1700,1,2,0,0,0,1,0,0,0,0,4157931.28,4797443,2,6
60,3,1400,1700,1,1,0,0,0,0,0,0,0,0,4157931.28,4797443,2,6
60,0,1400,1700,1,1,0,0,0,0,0,0,0,0,4157931.28,4797443,2,6
60,62,1400,1700,1,1,1,0,1,0,0,0,0,0,4157931.28,4797443,2,6
60,69,1400,1700,1,1,0,0,0,0,0,0,0,1,4157931.28,4797443,2,6
60,55,1400,1700,1,1,0,0,0,0,0,0,0,2,4157931.28,4797443,2,6
