# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
133.4000 F20 431312 1 113.4000 pm108 c48 298 N pm108->c48
136.2000 F103 433318 1 33.2000 wm125 c44 299 N wm125->c44
173.1000 F83 248031 1 90.1000 cm116 c32 298 N cm116->c32
192.3000 F146 255431 1 46.3000 wm124 p11 299 N wm124->p11
203.9000 F70 125639 1 133.9000 cm112 w92 297 N cm112->w92
266.2000 F155 466954 2 111.2000 wm125 w83 298 N wm125->c40->w83
267.7000 F76 273968 1 191.7000 cm115 w75 296 N cm115->w75
339.2000 F113 157862 1 226.2000 cm117 w82 296 N cm117->w82
341.8000 F340 407392 2 1.8000 pm106 t97 299 N pm106->t96->t97
364.7000 F309 214669 2 55.7000 wm123 p16 299 N wm123->c55->p16
372.3000 F295 161486 3 77.3000 wm120 wm124 298 N wm120->p1->w81->wm124
400.7000 F304 259188 1 96.7000 wm122 c62 298 N wm122->c62
412.2000 F370 201672 1 42.2000 pm103 t100 299 N pm103->t100
461.6000 F202 140161 1 259.6000 pm107 w74 295 N pm107->w74
475.1000 F216 288872 1 259.1000 cm113 w95 295 N cm113->w95
477.4000 F132 227400 1 345.4000 cm117 w81 294 N cm117->w81
515.9000 F170 130430 2 345.9000 wm120 t100 294 N wm120->t101->t100
516.4000 F153 119277 2 363.4000 wm120 t100 293 N wm120->t101->t100
524.1000 F10 217698 3 514.1000 pm102 w69 291 N pm102->t97->c63->w69
600.4000 F366 269147 1 234.4000 wm121 c43 296 N wm121->c43
601.9000 F198 355998 2 403.9000 cm111 p22 293 N cm111->c47->p22
613.8000 F252 393900 1 361.8000 cm111 c62 293 N cm111->c62
647.0000 F445 387751 1 202.0000 pm103 w89 296 N pm103->w89
766.6000 F161 270121 2 605.6000 wm118 pm108 289 N wm118->c43->pm108
777.5000 F769 108015 1 8.5000 cm116 p11 299 N cm116->p11
804.5000 M5 874671 1 660.5000 c60 p17 288 N c60->p17
827.1000 F672 300742 2 155.1000 cm114 cm117 297 N cm114->p19->cm117
858.8000 F303 107294 2 555.8000 wm120 c58 290 N wm120->c63->c58
864.6000 F831 178554 2 33.6000 wm123 pm109 299 N wm123->c34->pm109
906.5000 F604 331088 1 302.5000 cm110 w87 294 N cm110->w87
908.4000 F737 471741 1 171.4000 cm110 w87 297 N cm110->w87
961.2000 F292 292652 1 669.2000 cm115 w66 288 N cm115->w66
995.7000 F774 326689 1 221.7000 cm110 cm113 296 N cm110->cm113
